CD3,220802,1.5,1.5,1.49,1.49,14122
CDA,220802,8.74,8.77,8.59,8.69,452200
CDD,220802,.425,.425,.37,.395,265678
CDM,220802,.925,.935,.925,.93,237782
CDP,220802,4.4,4.4,4.35,4.4,3857
CDT,220802,.028,.028,.027,.028,736130
CDTO,220802,.014,.015,.014,.015,200000
CDX,220802,.37,.38,.37,.38,25018
CE1,220802,.14,.14,.13,.13,2436900
CEL,220802,.195,.195,.195,.195,200498
CEN,220802,6.89,6.9,6.81,6.9,1759
CETF,220802,56.56,56.56,55.71,56.39,1203
CF1,220802,.079,.079,.078,.079,166018
CFO,220802,.004,.004,.004,.004,16000
CG1,220802,.14,.14,.12,.13,1067295
CGB,220802,.025,.025,.025,.025,109000
CGC,220802,2.53,2.56,2.49,2.5,2254074
CGF,220802,7.08,7.1,6.97,6.97,1112636
CGFPB,220802,102.04,102.3,102.04,102.2,6227
CGFPC,220802,104.86,105.4,104.86,105.4,1308
CGO,220802,.48,.48,.48,.48,1250
CGS,220802,1.85,1.865,1.82,1.82,26946
CHC,220802,12.47,12.49,12.12,12.28,1302924
CHK,220802,.009,.009,.009,.009,158730
CHL,220802,2.67,2.75,2.57,2.75,28228
CHM,220802,.135,.135,.125,.125,454303
CHN,220802,4.8,4.82,4.57,4.64,1258793
CHNKOC,220802,2.1,2.13,2.1,2.11,8000
CHR,220802,.53,.53,.51,.51,13739
CHZ,220802,.089,.094,.089,.094,593942
CI1,220802,.105,.105,.105,.105,7367
CIA,220802,4.95,4.95,4.66,4.71,3786105
CIN,220802,29.8,30,29.8,30,2171
CIP,220802,3.07,3.07,2.99,2.99,1729809
CIW,220802,.51,.51,.5,.5,15400
CKA,220802,.18,.19,.175,.19,2265680
CKF,220802,10.43,10.53,10.38,10.51,257463
CL8,220802,.035,.035,.035,.035,27513
CLA,220802,.014,.014,.013,.013,14881205
CLAO,220802,.004,.004,.003,.003,1092979
CLDD,220802,9.66,9.74,9.63,9.74,11770
CLE,220802,.003,.004,.003,.004,110002
CLG,220802,.45,.46,.425,.43,97972
CLNE,220802,9.5,9.55,9.42,9.52,126446
CLT,220802,.029,.029,.029,.029,55493
CLU,220802,.48,.48,.44,.45,98799
CLV,220802,1.08,1.1,1.08,1.1,56734
CLW,220802,4.54,4.56,4.41,4.44,2329288
CLX,220802,1.055,1.055,1.055,1.055,4519
CLZ,220802,.036,.037,.036,.037,1580095
CLZOA,220802,.003,.005,.003,.003,209490
CM8,220802,.026,.026,.026,.026,600259
CML,220802,.012,.012,.011,.012,1671161
CMM,220802,3.93,4.13,3.92,4.12,1546189
CMO,220802,.14,.15,.14,.15,39585
CMP,220802,.19,.19,.19,.19,3000
CMW,220802,.85,.85,.825,.83,3159950
CMX,220802,.155,.155,.155,.155,2
CNB,220802,.98,1,.91,.91,301263
CNEW,220802,7.5,7.5,7.23,7.38,19437
CNI,220802,2.08,2.09,1.945,1.96,1928045
CNJ,220802,.029,.033,.029,.032,40254026
CNJO,220802,.018,.021,.018,.021,7149842
CNQ,220802,.57,.58,.565,.58,7198
CNR,220802,.3,.305,.3,.305,45977
CNU,220802,7.19,7.2,7.12,7.19,314759
CNW,220802,.031,.031,.031,.031,12793
COB,220802,.825,.835,.765,.785,793094
COD,220802,.29,.297,.29,.29,43022
COE,220802,.225,.235,.22,.22,2855192
COF,220802,1.83,1.83,1.665,1.7,8134158
COG,220802,1.93,1.95,1.875,1.89,154782
COH,220802,218.71,219.72,215.78,219.26,108947
COI,220802,.19,.19,.185,.185,115735
COL,220802,18.9,19.28,18.9,19.21,3212715
COLKCR,220802,6.9,6.9,6.9,6.9,1000
COLKCS,220802,5.46,5.46,5.25,5.25,2000
COO,220802,.037,.037,.037,.037,100000
COS,220802,.6,.6,.6,.6,32750
CPM,220802,.475,.475,.475,.475,4964
CPN,220802,.48,.48,.465,.465,168129
CPO,220802,.18,.18,.175,.175,83207
CPT,220802,.009,.009,.009,.009,1249977
CPU,220802,25.37,25.51,25.17,25.38,1532953
CPV,220802,.265,.27,.26,.26,117487
CQE,220802,3.77,3.78,3.72,3.76,531688
CQR,220802,4.2,4.2,4.05,4.07,1431359
CR9,220802,.044,.044,.044,.044,165714
CRED,220802,22.64,22.68,22.58,22.65,21312
CRN,220802,1.43,1.43,1.385,1.42,3843017
CRR,220802,.05,.053,.045,.045,17503654
CRS,220802,.09,.09,.085,.085,76000
CRYP,220802,2.96,3,2.93,2.96,25066
CSE,220802,.105,.105,.105,.105,29254
CSF,220802,.17,.17,.17,.17,4323
CSL,220802,295.21,297.98,293.44,296.85,566982
CSLKOB,220802,89.75,89.75,88.3,88.3,500
CSR,220802,4.57,4.61,4.52,4.59,1734748
CSRKOD,220802,1.215,1.215,1.215,1.215,8000
CSS,220802,.55,.57,.55,.57,201893
CST,220802,.15,.17,.145,.17,213463
CTD,220802,18.32,18.7,17.99,18.7,537250
CTDKCB,220802,5.6,5.6,5.5,5.5,350
CTE,220802,.66,.67,.66,.67,63760
CTM,220802,.96,.97,.925,.935,608267
CTO,220802,.006,.006,.006,.006,60000
CTP,220802,.105,.105,.105,.105,594972
CTQ,220802,.081,.084,.081,.084,37085
CTT,220802,.555,.6,.53,.59,764614
CTV,220802,.006,.006,.006,.006,136259
CU6,220802,.6,.6,.58,.58,74027
CUE,220802,.065,.066,.065,.065,311477
CUL,220802,.014,.015,.014,.015,489931
CUP,220802,.69,.7,.69,.69,335387
CURE,220802,38.72,38.72,38.59,38.7,790
CUS,220802,.205,.205,.2,.2,22500
CUV,220802,18.29,18.79,17.9,18.73,110960
CV1,220802,.125,.125,.12,.12,214933
CVC,220802,2.34,2.34,2.34,2.34,4
CVCG,220802,98.5,98.5,98.5,98.5,727
CVL,220802,.59,.59,.59,.59,80920
CVN,220802,.205,.21,.2,.2,1095797
CVW,220802,.655,.675,.655,.675,36221
CWP,220802,4.02,4.05,3.95,4.05,22394
CWY,220802,2.75,2.75,2.69,2.71,3403250
CXL,220802,6.24,6.35,6.15,6.3,144794
CXM,220802,.145,.15,.14,.145,822565
CXO,220802,1.18,1.185,1.125,1.125,10291111
CXU,220802,.012,.013,.01,.01,4548766
CXZ,220802,.01,.01,.01,.01,2500000
CY5,220802,.205,.225,.205,.217,293037
CYC,220802,1.415,1.415,1.41,1.41,1284
CYG,220802,1.245,1.245,1.225,1.225,8312
CYL,220802,1.2,1.2,1.2,1.2,5000
CYM,220802,.115,.115,.11,.11,933134
CYP,220802,.405,.405,.4,.4,22506
